x_Autocorrelation,x_Centroid,x_Curve distance,x_Fundamental frequency,x_Histogram_0,x_Histogram_1,x_Histogram_2,x_Histogram_3,x_Histogram_4,x_Histogram_5,x_Histogram_6,x_Histogram_7,x_Histogram_8,x_Histogram_9,x_Interquartile range,x_Kurtosis,x_Linear regression,x_Max,x_Max power spectrum,x_Maximum frequency,x_Maximum peaks,x_Mean diff,x_Median diff,x_Median frequency,x_Min,x_Skewness,x_Spectral decrease,x_Spectral kurtosis,x_Spectral maximum peaks,x_Spectral roll-on,x_Spectral spread,x_Spectral variation,x_Zero crossing rate,Activity
c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,d
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,class
132.99008178710938,0.6000003905755511,-5.378850197275157,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021539926528930664,1.2523378849120874,4.039871138186867e-05,1.0246059894561768,0.14534521102905273,42.857142857142854,34.0,6.577912427019328e-05,0.0001010894775390625,19.841269841269842,1.0128170251846313,-0.2789303660392761,0.05407203713440198,1.7546560843774675,15.0,2.380952380952381,185.3733731129604,0.16909848352629342,0.0,STANDING
133.02757263183594,0.6001744547945526,-11.461497409131745,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00222700834274292,1.2744697522761612,5.7152416123729297e-05,1.0246059894561768,0.1688137650489807,38.095238095238095,30.0,-7.890341294114478e-06,-6.389617919921875e-05,14.285714285714285,1.0128929615020752,-0.39546555280685425,-0.11250486301632426,2.5012178301859196,18.0,1.5873015873015872,126.66782689171247,0.24319763865639887,0.0,STANDING
133.15309143066406,0.6004396249248001,-20.330274122333268,6.349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030965209007263184,1.7969044647566799,0.00042978926280193687,1.0276639461517334,0.15840575098991394,35.714285714285715,29.0,-8.723866812943015e-06,2.6106834411621094e-05,14.285714285714285,1.009013056755066,-0.5650469064712524,-0.15569883456238606,3.3133463049411085,18.0,1.5873015873015872,99.56258055167,0.2890367922706114,0.0,STANDING
133.26321411132812,0.6000478714775268,-17.354679967005527,2.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002785801887512207,3.924806076761146,3.771182409548947e-05,1.0276639461517334,0.07258148491382599,37.3015873015873,26.0,2.4039914933382533e-05,1.5974044799804688e-05,14.285714285714285,1.009013056755066,-0.8109243512153625,0.09045740446004637,3.7190722373378167,17.0,0.7936507936507936,103.57442347863405,0.37009260923298637,0.0,STANDING
133.23837280273438,0.5998637569996866,-12.770024690163627,6.349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025059878826141357,0.980626473147459,-0.00013751865819452085,1.0261939764022827,0.13842912018299103,38.888888888888886,25.0,-2.492131170583889e-05,-7.033348083496094e-06,14.285714285714285,1.013645052909851,-0.22064170241355896,-0.048980699530244594,3.064474909601678,16.0,1.5873015873015872,127.44478956888186,0.1499420282930608,0.0,STANDING
133.21820068359375,0.6000623830184798,-14.468570382978335,2.380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002937018871307373,0.23119624139289074,-6.357654929175214e-05,1.0261939764022827,0.22588759660720825,37.3015873015873,25.0,4.960796104569454e-06,-3.802776336669922e-05,14.285714285714285,1.013645052909851,-0.09676440060138702,0.11734694708750051,2.697657542432666,20.0,3.1746031746031744,116.40034322543177,0.18315447413411712,0.0,STANDING
133.33624267578125,0.6000309376495561,-13.127301636868351,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033015012741088867,-0.40327034724130906,0.00028149641530450704,1.0271669626235962,0.2709117531776428,42.857142857142854,23.0,8.432226604782045e-05,0.0,15.079365079365079,1.0148040056228638,0.004809585865586996,0.03793785330133835,2.6097466832500755,15.0,2.380952380952381,162.82452638161854,0.39311079240991187,0.0,STANDING
133.33123779296875,0.599679211732252,-18.351105207313662,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034702420234680176,-0.3697743209389093,-0.00041872354787463305,1.0271669626235962,0.1742957979440689,38.095238095238095,25.0,-3.1488147214986384e-05,-0.00011396408081054688,12.698412698412698,1.0148040056228638,0.12611201405525208,-0.04047706609931149,3.048658511819577,18.0,1.5873015873015872,122.73724239241876,0.26608647782155814,0.0,STANDING
